,Neighbourhood,Latitude,Longitude
0,Agincourt North,43.8054405769,-79.266712166
1,Agincourt South-Malvern West,43.788657551099995,-79.2656117966
2,Alderwood,43.6049368959,-79.5416109273
3,Annex,43.6715854351,-79.4040006243
4,Banbury-Don Mills,43.737657004300004,-79.3497179808
5,Bathurst Manor,43.7648133077,-79.4560551588
6,Bay Street Corridor,43.6575113467,-79.3857212509
7,Bayview Village,43.7763605236,-79.3771168597
8,Bayview Woods-Steeles,43.7968018666,-79.3821179542
9,Bedford Park-Nortown,43.731486231800005,-79.4202273481
10,Beechborough-Greenbrook,43.6932164866,-79.4794725057
11,Bendale,43.7603663086,-79.2574003723
12,Birchcliffe-Cliffside,43.694681978599995,-79.2650925923
13,Black Creek,43.7648902472,-79.5219793188
14,Blake-Jones,43.67617287979999,-79.3373941732
15,Briar Hill-Belgravia,43.699024381,-79.4528512962
16,Bridle Path-Sunnybrook-York Mills,43.7310131378,-79.3789041759
17,Broadview North,43.688825119200004,-79.3556295118
18,Brookhaven-Amesbury,43.701326305600006,-79.485589259
19,Cabbagetown-South St.James Town,43.667647727399995,-79.36610665810001
20,Caledonia-Fairbank,43.688568651000004,-79.4552120796
21,Casa Loma,43.6818521005,-79.4080066472
22,Centennial Scarborough,43.7823764958,-79.1508432723
23,Church-Yonge Corridor,43.6596488635,-79.3790171666
24,Clairlea-Birchmount,43.713592375,-79.28138178420001
25,Clanton Park,43.7419784331,-79.4463025758
26,Cliffcrest,43.7211211669,-79.2355295687
27,Corso Italia-Davenport,43.6776609067,-79.4474693307
28,Danforth,43.6840254743,-79.32981940890001
29,Danforth East York,43.6894680941,-79.3314033847
30,Don Valley Village,43.783293686899995,-79.3536441306
31,Dorset Park,43.759274372700006,-79.2789079388
32,Dovercourt-Wallace Emerson-Junction,43.6656769317,-79.4385406986
33,Downsview-Roding-CFB,43.7332923453,-79.4904973518
34,Dufferin Grove,43.6554283326,-79.4373410365
35,East End-Danforth,43.684173877700005,-79.2993586723
36,Edenbridge-Humber Valley,43.6708859094,-79.5224577643
37,Eglinton East,43.7409222979,-79.245598036
38,Elms-Old Rexdale,43.721518868400004,-79.54898271649999
39,Englemount-Lawrence,43.7203446653,-79.43740855
40,Eringate-Centennial-West Deane,43.6580167554,-79.5804452375
41,Etobicoke West Mall,43.6450626244,-79.5689387722
42,Flemingdon Park,43.715929753999994,-79.3326459673
43,Forest Hill North,43.7042175596,-79.42814316479999
44,Forest Hill South,43.694525756400004,-79.4143178642
45,Glenfield-Jane Heights,43.745635749799995,-79.5134653159
46,Greenwood-Coxwell,43.6726123109,-79.3243180234
47,Guildwood,43.7488293378,-79.1950553496
48,Henry Farm,43.7711441425,-79.3412406671
