,Neighbourhood,Police Stations
0,Mount Pleasant West,44
1,Leaside-Bennington,43
2,Lawrence Park North,43
3,Mount Pleasant East,43
4,Lawrence Park South,43
5,Yorkdale-Glen Park,43
6,Englemount-Lawrence,42
7,Humewood-Cedarvale,42
8,Forest Hill North,42
9,Yonge-St.Clair,41
10,Forest Hill South,41
11,Brookhaven-Amesbury,41
12,Yonge-Eglinton,41
13,Briar Hill-Belgravia,41
14,Bridle Path-Sunnybrook-York Mills,40
15,Caledonia-Fairbank,40
16,Bedford Park-Nortown,40
17,Keelesdale-Eglinton West,39
18,Thorncliffe Park,39
19,Casa Loma,39
20,Junction Area,38
21,Rosedale-Moore Park,38
22,Playter Estates-Danforth,38
23,Annex,38
24,Oakwood Village,38
25,North Riverdale,38
26,Broadview North,38
27,Beechborough-Greenbrook,38
28,Rockcliffe-Smythe,37
29,Palmerston-Little Italy,37
30,Dovercourt-Wallace Emerson-Junction,37
31,Mount Dennis,37
32,Dufferin Grove,37
33,Maple Leaf,37
34,Little Portugal,37
35,Wychwood,37
36,Lambton Baby Point,36
37,Cabbagetown-South St.James Town,36
38,Runnymede-Bloor West Village,36
39,Trinity-Bellwoods,36
40,University,36
41,North St.James Town,36
42,Kensington-Chinatown,35
43,Roncesvalles,35
44,Blake-Jones,35
45,Weston-Pellam Park,35
46,Corso Italia-Davenport,35
47,Niagara,35
48,Bay Street Corridor,35
49,Stonegate-Queensway,35
50,Church-Yonge Corridor,35
51,High Park North,34
52,Moss Park,34
53,High Park-Swansea,34
54,South Parkdale,33
55,Old East York,33
56,Regent Park,33
57,Waterfront Communities-The Island,32
58,Danforth,32
59,Danforth East York,32
60,Greenwood-Coxwell,32
61,Flemingdon Park,32
62,Banbury-Don Mills,31
63,Woodbine Corridor,30
64,Edenbridge-Humber Valley,29
65,Rustic,28
66,South Riverdale,28
67,Victoria Village,27
68,O'Connor-Parkview,26
69,Princess-Rosethorn,26
70,Woodbine-Lumsden,26
71,Taylor-Massey,26
72,The Beaches,25
73,Weston,25
74,East End-Danforth,25
75,Oakridge,25
76,Kingsway South,25
77,Humber Heights-Westmount,25
78,Islington-City Centre West,24
79,Willowridge-Martingrove-Richview,24
80,Clanton Park,24
81,Downsview-Roding-CFB,23
82,Kingsview Village-The Westway,23
83,Eringate-Centennial-West Deane,22
84,Glenfield-Jane Heights,21
85,Elms-Old Rexdale,21
86,Pelmo Park-Humberlea,21
87,Mimico,20
88,Etobicoke West Mall,20
89,Lansing-Westgate,19
90,New Toronto,18
91,York University Heights,18
92,Markland Wood,18
93,St.Andrew-Windfields,18
94,Westminster-Branson,17
95,Bathurst Manor,17
96,Newtonbrook West,16
97,Bayview Village,16
98,Black Creek,16
99,Humbermede,15
100,West Humber-Clairville,15
101,Willowdale West,15
102,Clairlea-Birchmount,15
103,Wexford/Maryvale,15
104,Alderwood,15
105,Parkwoods-Donalda,15
106,Willowdale East,15
107,Don Valley Village,14
108,L'Amoreaux,13
109,Henry Farm,13
110,Birchcliffe-Cliffside,13
111,Thistletown-Beaumond Heights,13
112,Humber Summit,13
113,Rexdale-Kipling,13
114,Tam O'Shanter-Sullivan,12
115,Eglinton East,12
116,Hillcrest Village,12
117,Cliffcrest,12
118,Long Branch,12
119,Ionview,12
120,Mount Olive-Silverstone-Jamestown,12
121,Kennedy Park,12
122,Steeles,11
123,Newtonbrook East,11
124,Pleasant View,11
125,Bayview Woods-Steeles,11
126,Agincourt South-Malvern West,10
127,Dorset Park,10
128,Woburn,9
129,Agincourt North,9
130,Bendale,9
131,Scarborough Village,8
132,Milliken,8
133,Guildwood,8
134,Malvern,8
135,West Hill,7
136,Morningside,7
137,Rouge,5
138,Centennial Scarborough,5
139,Highland Creek,4
