Neighbourhood,AREA_ID,AREA_LONG_CODE,AREA_NAME,AREA_SHORT_CODE,CLASSIFICATION,CLASSIFICATION_CODE,LATITUDE,LONGITUDE,OBJECTID,PARENT_AREA_ID,Shape__Area,Shape__Length,X,Y,_id,Total - Household total income groups in 2015 for private households - 100% data,"  Under $5,000","  $5,000 to $9,999","  $10,000 to $14,999","  $20,000 to $24,999","  $25,000 to $29,999","  $30,000 to $34,999","  $35,000 to $39,999","  $40,000 to $44,999","  $45,000 to $49,999","  $50,000 to $59,999","  $60,000 to $69,999","  $70,000 to $79,999","  $80,000 to $89,999","  $90,000 to $99,999","  $100,000 and over","    $200,000 and over"
Casa Loma (96),2480141,96,Casa Loma (96),96,,,,,17545105,,3678384.5234375,8214.17648485267,,,1,,,,,,,,,,,,,,,,,
Annex (95),2480140,95,Annex (95),95,,,,,17545121,,5337191.84765625,10513.8831426123,,,2,,,,,,,,,,,,,,,,,
Caledonia-Fairbank (109),2480139,109,Caledonia-Fairbank (109),109,,,,,17545137,,2955857.48828125,6849.91172413635,,,3,,,,,,,,,,,,,,,,,
Woodbine Corridor (64),2480064,64,Woodbine Corridor (64),64,,,,,17545153,,3052518.03515625,7512.96677266488,,,4,,,,,,,,,,,,,,,,,
Lawrence Park South (103),2480063,103,Lawrence Park South (103),103,,,,,17545169,,6211340.6171875,13530.3700016811,,,5,,,,,,,,,,,,,,,,,
Milliken (130),2480062,130,Milliken (130),130,,,,,17545185,,18217906.875,23261.7168877878,,,6,,,,,,,,,,,,,,,,,
Henry Farm (53),2480138,53,Henry Farm (53),53,,,,,17545201,,4976458.03125,11278.106957708,,,7,,,,,,,,,,,,,,,,,
Downsview-Roding-CFB (26),2480137,26,Downsview-Roding-CFB (26),26,Neighbourhood Improvement Area,NIA,,,17545217,,28736797.6875,29479.1047091749,,,8,,,,,,,,,,,,,,,,,
Kingsview Village-The Westway (6),2480136,6,Kingsview Village-The Westway (6),6,Neighbourhood Improvement Area,NIA,,,17545233,,9694496.34765625,14458.7642706314,,,9,,,,,,,,,,,,,,,,,
Kennedy Park (124),2480135,124,Kennedy Park (124),124,Neighbourhood Improvement Area,NIA,,,17545249,,6861056.16796875,10530.2024329914,,,10,,,,,,,,,,,,,,,,,
Pleasant View (46),2480061,46,Pleasant View (46),46,,,,,17545265,,5697613.3046875,11016.7117697596,,,11,,,,,,,,,,,,,,,,,
Steeles (116),2480060,116,Steeles (116),116,Emerging Neighbourhood,EN,,,17545281,,8765411.3359375,12392.9428551796,,,12,,,,,,,,,,,,,,,,,
